rt,responses,questionId,trial_type,trial_index,time_elapsed,internal_node_id,subjectId,view_history,stimulus,key_press,button_pressed,id,type,shape,color,condition
4970,NA,,html-button-delay-response,10,44298,0.0-10.0,qjflwa296p,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1_red'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot21'></div></div> </div>,,0,testing.2,testing,dot,,notAnotB
4625,NA,,html-button-delay-response,11,49425,0.0-11.0,qjflwa296p,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7_red'></div><div class='color8'></div></div><div class='dot76'></div></div> </div>,,0,testing.3,testing,dot,,notAB
4536,NA,,html-button-delay-response,12,54465,0.0-12.0,qjflwa296p,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3_red'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot43'></div></div> </div>,,0,testing.14,testing,dot,,notAnotB
5683,NA,,html-button-delay-response,13,60649,0.0-13.0,qjflwa296p,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2_red'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot56'></div></div> </div>,,2,testing.6,testing,dot,,AnotB_grey
4563,NA,,html-button-delay-response,14,65713,0.0-14.0,qjflwa296p,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4_red'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot45'></div></div> </div>,,2,testing.13,testing,dot,,AB
4635,NA,,html-button-delay-response,15,70849,0.0-15.0,qjflwa296p,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3_red'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot32'></div></div> </div>,,0,testing.4,testing,dot,,notAB
4562,NA,,html-button-delay-response,16,75913,0.0-16.0,qjflwa296p,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2_red'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot23'></div></div> </div>,,2,testing.12,testing,dot,,AB
4417,NA,,html-button-delay-response,17,80833,0.0-17.0,qjflwa296p,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7_red'></div><div class='color8'></div></div><div class='dot67'></div></div> </div>,,2,testing.11,testing,dot,,AnotB_red
4570,NA,,html-button-delay-response,18,85905,0.0-18.0,qjflwa296p,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5_red'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot54'></div></div> </div>,,0,testing.5,testing,dot,,notAB
4530,NA,,html-button-delay-response,19,90937,0.0-19.0,qjflwa296p,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7_red'></div><div class='color8'></div></div><div class='dot45'></div></div> </div>,,2,testing.7,testing,dot,,AnotB_grey
4482,NA,,html-button-delay-response,20,95921,0.0-20.0,qjflwa296p,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6_red'></div><div class='color7'></div><div class='color8'></div></div><div class='dot76'></div></div> </div>,,0,testing.15,testing,dot,,notAnotB
4489,NA,,html-button-delay-response,21,100912,0.0-21.0,qjflwa296p,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6_red'></div><div class='color7'></div><div class='color8'></div></div><div class='dot56'></div></div> </div>,,2,testing.9,testing,dot,,AnotB_red
4417,NA,,html-button-delay-response,22,105841,0.0-22.0,qjflwa296p,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5_red'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot78'></div></div> </div>,,2,testing.8,testing,dot,,AnotB_grey
4353,NA,,html-button-delay-response,23,110697,0.0-23.0,qjflwa296p,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2_red'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot12'></div></div> </div>,,2,testing.10,testing,dot,,AnotB_red
4735,['wugging had to do with the direction of the movement/rotation direction'],self_report,survey-multi-select,24,115937,0.0-24.0,qjflwa296p,,,,,,,,,
11511,none,demo.1,survey-dropdown,25,127449,0.0-25.0,qjflwa296p,,,,,,,,,
11511,none,demo.2,survey-dropdown,25,127449,0.0-25.0,qjflwa296p,,,,,,,,,
11511,male,demo.3,survey-dropdown,25,127449,0.0-25.0,qjflwa296p,,,,,,,,,
11511,12-24,demo.4,survey-dropdown,25,127449,0.0-25.0,qjflwa296p,,,,,,,,,
4036,5f5bc5a78f9451367564d7c5,ProlificID,survey-text,0,4038,0.0-0.0,77g1m6po3w,,,,,,,,,
6117,NA,instructions,instructions,1,10158,0.0-1.0,77g1m6po3w,"[{""page_index"":0,""viewing_time"":6114}]",,,,,,,,
null,NA,,html-keyboard-response,2,13664,0.0-2.0,77g1m6po3w,,<p style='text-align:center'>The dot is going to wug:</p><div  class = 'container'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7_red'></div><div class='color8'></div></div><div class='dot78'></div></div> </div>,null,,,,,,
null,NA,,html-keyboard-response,3,18172,0.0-3.0,77g1m6po3w,,<p style='text-align:center'>The dot is going to wug:</p><div  class = 'container'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6_red'></div><div class='color7'></div><div class='color8'></div></div><div class='dot67'></div></div> </div>,null,,,,,,
null,NA,,html-keyboard-response,4,22677,0.0-4.0,77g1m6po3w,,<p style='text-align:center'>The dot is going to wug:</p><div  class = 'container'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4_red'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot45'></div></div> </div>,null,,,,,,
null,NA,,html-keyboard-response,5,27181,0.0-5.0,77g1m6po3w,,<p style='text-align:center'>The dot is going to wug:</p><div  class = 'container'> <div class='container3'><div class='palette'><div class='color1_red'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot12'></div></div> </div>,null,,,,,,
null,NA,,html-keyboard-response,6,31685,0.0-6.0,77g1m6po3w,,<p style='text-align:center'>The dot is going to wug:</p><div  class = 'container'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2_red'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot23'></div></div> </div>,null,,,,,,
null,NA,,html-keyboard-response,7,36190,0.0-7.0,77g1m6po3w,,<p style='text-align:center'>The dot is going to wug:</p><div  class = 'container'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3_red'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot34'></div></div> </div>,null,,,,,,
4639,NA,break,html-button-response,8,41834,0.0-8.0,77g1m6po3w,,"<p style='text-align:center'>Now, let's see how <b>you</b> use <i>wug</i>! You will see animations and will be asked to make a decision.</p>",,0,,,,,
6926,NA,,html-button-delay-response,9,48765,0.0-9.0,77g1m6po3w,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5_red'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot56'></div></div> </div>,,2,testing.1,testing,dot,,AB
5497,NA,,html-button-delay-response,10,54767,0.0-10.0,77g1m6po3w,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1_red'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot21'></div></div> </div>,,0,testing.2,testing,dot,,notAnotB
17397,NA,,html-button-delay-response,11,72669,0.0-11.0,77g1m6po3w,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7_red'></div><div class='color8'></div></div><div class='dot67'></div></div> </div>,,0,testing.11,testing,dot,,AnotB_red
16717,NA,,html-button-delay-response,12,89891,0.0-12.0,77g1m6po3w,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7_red'></div><div class='color8'></div></div><div class='dot76'></div></div> </div>,,0,testing.3,testing,dot,,notAB
5176,NA,,html-button-delay-response,13,95571,0.0-13.0,77g1m6po3w,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6_red'></div><div class='color7'></div><div class='color8'></div></div><div class='dot56'></div></div> </div>,,1,testing.9,testing,dot,,AnotB_red
5017,NA,,html-button-delay-response,14,101092,0.0-14.0,77g1m6po3w,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2_red'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot56'></div></div> </div>,,1,testing.6,testing,dot,,AnotB_grey
4926,NA,,html-button-delay-response,15,106522,0.0-15.0,77g1m6po3w,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6_red'></div><div class='color7'></div><div class='color8'></div></div><div class='dot76'></div></div> </div>,,0,testing.15,testing,dot,,notAnotB
4913,NA,,html-button-delay-response,16,111939,0.0-16.0,77g1m6po3w,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3_red'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot43'></div></div> </div>,,0,testing.14,testing,dot,,notAnotB
6054,NA,,html-button-delay-response,17,118496,0.0-17.0,77g1m6po3w,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2_red'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot12'></div></div> </div>,,1,testing.10,testing,dot,,AnotB_red
4556,NA,,html-button-delay-response,18,123555,0.0-18.0,77g1m6po3w,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5_red'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot78'></div></div> </div>,,1,testing.8,testing,dot,,AnotB_grey
4904,NA,,html-button-delay-response,19,128963,0.0-19.0,77g1m6po3w,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2_red'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot23'></div></div> </div>,,2,testing.12,testing,dot,,AB
4874,NA,,html-button-delay-response,20,134342,0.0-20.0,77g1m6po3w,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7_red'></div><div class='color8'></div></div><div class='dot45'></div></div> </div>,,1,testing.7,testing,dot,,AnotB_grey
4884,NA,,html-button-delay-response,21,139731,0.0-21.0,77g1m6po3w,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4_red'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot45'></div></div> </div>,,2,testing.13,testing,dot,,AB
5572,NA,,html-button-delay-response,22,145808,0.0-22.0,77g1m6po3w,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5_red'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot54'></div></div> </div>,,0,testing.5,testing,dot,,notAB
4949,NA,,html-button-delay-response,23,151261,0.0-23.0,77g1m6po3w,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3_red'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot32'></div></div> </div>,,0,testing.4,testing,dot,,notAB
9284,['wugging had to do with the direction of the movement/rotation direction'],self_report,survey-multi-select,24,161055,0.0-24.0,77g1m6po3w,,,,,,,,,
27669,1g,demo.1,survey-dropdown,25,188729,0.0-25.0,77g1m6po3w,,,,,,,,,
27669,none,demo.2,survey-dropdown,25,188729,0.0-25.0,77g1m6po3w,,,,,,,,,
27669,NA,demo.3,survey-dropdown,25,188729,0.0-25.0,77g1m6po3w,,,,,,,,,
27669,NA,demo.4,survey-dropdown,25,188729,0.0-25.0,77g1m6po3w,,,,,,,,,
3181,5eade36d3bfa880ea74e86e0,ProlificID,survey-text,0,3182,0.0-0.0,6oxlucrj3l,,,,,,,,,
3774,NA,instructions,instructions,1,6956,0.0-1.0,6oxlucrj3l,"[{""page_index"":0,""viewing_time"":3773}]",,,,,,,,
null,NA,,html-keyboard-response,2,10458,0.0-2.0,6oxlucrj3l,,<p style='text-align:center'>The dot is going to wug:</p><div  class = 'container'> <div class='container3'><div class='palette'><div class='color1_red'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot12'></div></div> </div>,null,,,,,,
null,NA,,html-keyboard-response,3,14962,0.0-3.0,6oxlucrj3l,,<p style='text-align:center'>The dot is going to wug:</p><div  class = 'container'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2_red'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot23'></div></div> </div>,null,,,,,,
null,NA,,html-keyboard-response,4,19469,0.0-4.0,6oxlucrj3l,,<p style='text-align:center'>The dot is going to wug:</p><div  class = 'container'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4_red'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot45'></div></div> </div>,null,,,,,,
null,NA,,html-keyboard-response,5,23972,0.0-5.0,6oxlucrj3l,,<p style='text-align:center'>The dot is going to wug:</p><div  class = 'container'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3_red'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot34'></div></div> </div>,null,,,,,,
null,NA,,html-keyboard-response,6,28478,0.0-6.0,6oxlucrj3l,,<p style='text-align:center'>The dot is going to wug:</p><div  class = 'container'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7_red'></div><div class='color8'></div></div><div class='dot78'></div></div> </div>,null,,,,,,
null,NA,,html-keyboard-response,7,32981,0.0-7.0,6oxlucrj3l,,<p style='text-align:center'>The dot is going to wug:</p><div  class = 'container'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6_red'></div><div class='color7'></div><div class='color8'></div></div><div class='dot67'></div></div> </div>,null,,,,,,
3360,NA,break,html-button-response,8,37344,0.0-8.0,6oxlucrj3l,,"<p style='text-align:center'>Now, let's see how <b>you</b> use <i>wug</i>! You will see animations and will be asked to make a decision.</p>",,0,,,,,
6421,NA,,html-button-delay-response,9,43766,0.0-9.0,6oxlucrj3l,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5_red'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot56'></div></div> </div>,,2,testing.1,testing,dot,,AB
5716,NA,,html-button-delay-response,10,49984,0.0-10.0,6oxlucrj3l,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1_red'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot21'></div></div> </div>,,2,testing.2,testing,dot,,notAnotB
7173,NA,,html-button-delay-response,11,57659,0.0-11.0,6oxlucrj3l,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2_red'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot56'></div></div> </div>,,1,testing.6,testing,dot,,AnotB_grey
4459,NA,,html-button-delay-response,12,62620,0.0-12.0,6oxlucrj3l,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6_red'></div><div class='color7'></div><div class='color8'></div></div><div class='dot76'></div></div> </div>,,2,testing.15,testing,dot,,notAnotB
4576,NA,,html-button-delay-response,13,67699,0.0-13.0,6oxlucrj3l,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3_red'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot43'></div></div> </div>,,2,testing.14,testing,dot,,notAnotB
4423,NA,,html-button-delay-response,14,72624,0.0-14.0,6oxlucrj3l,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5_red'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot78'></div></div> </div>,,2,testing.8,testing,dot,,AnotB_grey
4463,NA,,html-button-delay-response,15,77589,0.0-15.0,6oxlucrj3l,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7_red'></div><div class='color8'></div></div><div class='dot76'></div></div> </div>,,1,testing.3,testing,dot,,notAB
4430,NA,,html-button-delay-response,16,82521,0.0-16.0,6oxlucrj3l,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5_red'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot54'></div></div> </div>,,1,testing.5,testing,dot,,notAB
4527,NA,,html-button-delay-response,17,87549,0.0-17.0,6oxlucrj3l,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4_red'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot45'></div></div> </div>,,2,testing.13,testing,dot,,AB
4429,NA,,html-button-delay-response,18,92479,0.0-18.0,6oxlucrj3l,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2_red'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot23'></div></div> </div>,,2,testing.12,testing,dot,,AB
4554,NA,,html-button-delay-response,19,97534,0.0-19.0,6oxlucrj3l,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7_red'></div><div class='color8'></div></div><div class='dot45'></div></div> </div>,,2,testing.7,testing,dot,,AnotB_grey
4419,NA,,html-button-delay-response,20,102455,0.0-20.0,6oxlucrj3l,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3_red'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot32'></div></div> </div>,,2,testing.4,testing,dot,,notAB
4428,NA,,html-button-delay-response,21,107387,0.0-21.0,6oxlucrj3l,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6_red'></div><div class='color7'></div><div class='color8'></div></div><div class='dot56'></div></div> </div>,,2,testing.9,testing,dot,,AnotB_red
4814,NA,,html-button-delay-response,22,112702,0.0-22.0,6oxlucrj3l,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7_red'></div><div class='color8'></div></div><div class='dot67'></div></div> </div>,,1,testing.11,testing,dot,,AnotB_red
4415,NA,,html-button-delay-response,23,117619,0.0-23.0,6oxlucrj3l,,<div  class = 'container2'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2_red'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot12'></div></div> </div>,,2,testing.10,testing,dot,,AnotB_red
7954,['wugging had to do with the direction of the movement/rotation direction'],self_report,survey-multi-select,24,126079,0.0-24.0,6oxlucrj3l,,,,,,,,,
21578,1ug,demo.1,survey-dropdown,25,147659,0.0-25.0,6oxlucrj3l,,,,,,,,,
21578,1ug,demo.2,survey-dropdown,25,147659,0.0-25.0,6oxlucrj3l,,,,,,,,,
21578,female,demo.3,survey-dropdown,25,147659,0.0-25.0,6oxlucrj3l,,,,,,,,,
21578,12-24,demo.4,survey-dropdown,25,147659,0.0-25.0,6oxlucrj3l,,,,,,,,,
14094,5c48783e58807900010816d1,ProlificID,survey-text,0,14099,0.0-0.0,q7wxgv5e8u,,,,,,,,,
5126,NA,instructions,instructions,1,19229,0.0-1.0,q7wxgv5e8u,"[{""page_index"":0,""viewing_time"":5125}]",,,,,,,,
null,NA,,html-keyboard-response,2,22735,0.0-2.0,q7wxgv5e8u,,<p style='text-align:center'>The dot is going to wug:</p><div  class = 'container'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6_red'></div><div class='color7'></div><div class='color8'></div></div><div class='dot67'></div></div> </div>,null,,,,,,
null,NA,,html-keyboard-response,3,27240,0.0-3.0,q7wxgv5e8u,,<p style='text-align:center'>The dot is going to wug:</p><div  class = 'container'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2_red'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot23'></div></div> </div>,null,,,,,,
null,NA,,html-keyboard-response,4,31745,0.0-4.0,q7wxgv5e8u,,<p style='text-align:center'>The dot is going to wug:</p><div  class = 'container'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3_red'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7'></div><div class='color8'></div></div><div class='dot34'></div></div> </div>,null,,,,,,
null,NA,,html-keyboard-response,5,36250,0.0-5.0,q7wxgv5e8u,,<p style='text-align:center'>The dot is going to wug:</p><div  class = 'container'> <div class='container3'><div class='palette'><div class='color1'></div><div class='color2'></div><div class='color3'></div><div class='color4'></div><div class='color5'></div><div class='color6'></div><div class='color7_red'></div><div class='color8'></div></div><div class='dot78'></div></div> </div>,null,,,,,,
